Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,LAA,2025-05-25,,MIA,"L, 0-3",32,29,0,3,2,1,0,0,0,0,1,3,15,0.103,0.188,0.138,0.325,4,0,0,0,0,0
2,ARI,2025-05-25,@,STL,"L, 3-4",39,37,3,10,7,3,0,0,3,0,0,1,7,0.27,0.308,0.351,0.659,13,0,1,0,0,0
3,ATL,2025-05-25,,SDP,"L, 3-5",33,30,3,7,4,3,0,0,2,0,0,2,11,0.233,0.273,0.333,0.606,10,2,0,0,1,0
4,BAL,2025-05-25,@,BOS,"W, 5-1",37,33,5,7,3,2,0,2,3,3,0,3,5,0.212,0.27,0.455,0.725,15,1,0,0,1,0
5,BOS,2025-05-25,,BAL,"L, 1-5",37,36,1,10,8,2,0,0,1,1,0,1,8,0.278,0.297,0.333,0.631,12,1,0,0,0,0
6,CHC,2025-05-25,@,CIN,"W, 11-8",45,40,11,13,8,2,0,3,10,0,0,5,11,0.325,0.4,0.6,1.0,24,0,0,0,0,0
7,CHW,2025-05-25,,TEX,"L, 4-5",36,34,4,9,3,4,0,2,4,1,1,1,11,0.265,0.278,0.559,0.837,19,0,0,0,1,0
8,CIN,2025-05-25,,CHC,"L, 8-11",42,38,8,11,9,1,1,0,7,1,0,3,11,0.289,0.357,0.368,0.726,14,0,1,0,0,0
9,CLE,2025-05-25,@,DET,"L, 0-5",29,28,0,2,1,1,0,0,0,0,0,0,13,0.071,0.103,0.107,0.211,3,1,1,0,0,0
10,COL,2025-05-25,,NYY,"L, 4-5",39,35,4,8,5,2,0,1,3,0,0,4,13,0.229,0.308,0.371,0.679,13,0,0,0,0,0
11,DET,2025-05-25,,CLE,"W, 5-0",38,33,5,8,4,3,0,1,4,0,1,4,7,0.242,0.342,0.424,0.766,14,0,1,0,0,0
12,MIA,2025-05-25,@,LAA,"W, 3-0",35,33,3,8,4,4,0,0,3,1,0,1,8,0.242,0.257,0.364,0.621,12,1,0,0,1,0
13,HOU,2025-05-25,,SEA,"W, 5-3",40,35,5,13,9,3,0,1,5,0,0,4,8,0.371,0.425,0.543,0.968,19,2,0,0,1,1
14,KCR,2025-05-25,@,MIN,"W, 2-1 (10)",38,37,2,9,5,4,0,0,2,0,1,1,6,0.243,0.263,0.351,0.615,13,0,0,0,0,0
15,LAD,2025-05-25,@,NYM,"L, 1-3",35,31,1,6,3,2,0,1,1,2,0,4,7,0.194,0.286,0.355,0.641,11,2,0,0,0,0
16,MIL,2025-05-25,@,PIT,"W, 6-5",39,33,6,7,4,3,0,0,5,0,0,5,2,0.212,0.308,0.303,0.611,10,0,0,0,1,0
17,MIN,2025-05-25,,KCR,"L, 1-2 (10)",34,31,1,3,2,1,0,0,1,1,1,3,12,0.097,0.176,0.129,0.306,4,1,0,0,0,0
18,NYM,2025-05-25,,LAD,"W, 3-1",31,30,3,6,4,1,0,1,3,2,1,0,8,0.2,0.226,0.333,0.559,10,0,1,0,0,0
19,NYY,2025-05-25,@,COL,"W, 5-4",40,35,5,9,5,3,1,0,5,1,0,4,9,0.257,0.325,0.4,0.725,14,0,0,0,1,2
20,ATH,2025-05-25,,PHI,"W, 5-4",37,35,5,11,8,1,1,1,5,0,0,2,11,0.314,0.351,0.486,0.837,17,0,0,0,0,0
